================================================================================
MONITEUR MÉMOIRE REFORGER WORKBENCH - 2026-06-09 16:59:13
================================================================================
Intervalle: 1.0s
GPU détecté: AMD Radeon 780M Graphics
================================================================================

[17:01:33] + 140.0s | RAM: 22.52/27.65 GB ( 81.5%) | VRAM: N/A
[17:01:34] + 141.0s | RAM: 22.74/27.65 GB ( 82.2%) | VRAM: N/A
[17:01:35] + 142.0s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[17:01:36] + 143.0s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[17:01:37] + 144.0s | RAM: 15.12/27.65 GB ( 54.7%) | VRAM: N/A
[17:01:38] + 145.1s | RAM: 14.94/27.65 GB ( 54.0%) | VRAM: N/A
[17:01:39] + 146.1s | RAM: 14.94/27.65 GB ( 54.0%) | VRAM: N/A
[17:01:40] + 147.1s | RAM: 14.98/27.65 GB ( 54.2%) | VRAM: N/A
[17:01:41] + 148.1s | RAM: 14.79/27.65 GB ( 53.5%) | VRAM: N/A
[17:01:42] + 149.1s | RAM: 14.84/27.65 GB ( 53.7%) | VRAM: N/A
[17:01:43] + 150.1s | RAM: 15.10/27.65 GB ( 54.6%) | VRAM: N/A
[17:01:44] + 151.1s | RAM: 15.24/27.65 GB ( 55.1%) | VRAM: N/A
[17:01:45] + 152.2s | RAM: 15.17/27.65 GB ( 54.9%) | VRAM: N/A
[17:01:46] + 153.2s | RAM: 15.13/27.65 GB ( 54.7%) | VRAM: N/A
[17:01:47] + 154.2s | RAM: 15.06/27.65 GB ( 54.5%) | VRAM: N/A
[17:01:48] + 155.2s | RAM: 15.00/27.65 GB ( 54.2%) | VRAM: N/A
[17:01:49] + 156.3s | RAM: 14.95/27.65 GB ( 54.1%) | VRAM: N/A
[17:01:50] + 157.3s | RAM: 14.92/27.65 GB ( 54.0%) | VRAM: N/A
[17:01:51] + 158.3s | RAM: 15.03/27.65 GB ( 54.4%) | VRAM: N/A
[17:01:52] + 159.3s | RAM: 14.80/27.65 GB ( 53.5%) | VRAM: N/A
[17:01:53] + 160.4s | RAM: 14.74/27.65 GB ( 53.3%) | VRAM: N/A
[17:01:54] + 161.4s | RAM: 14.72/27.65 GB ( 53.2%) | VRAM: N/A
[17:01:55] + 162.4s | RAM: 14.72/27.65 GB ( 53.2%) | VRAM: N/A
[17:01:56] + 163.4s | RAM: 14.72/27.65 GB ( 53.2%) | VRAM: N/A
[17:01:57] + 164.5s | RAM: 14.77/27.65 GB ( 53.4%) | VRAM: N/A
[17:01:58] + 165.5s | RAM: 14.72/27.65 GB ( 53.2%) | VRAM: N/A
[17:01:59] + 166.5s | RAM: 14.72/27.65 GB ( 53.2%) | VRAM: N/A
[17:02:00] + 167.5s | RAM: 14.72/27.65 GB ( 53.2%) | VRAM: N/A
[17:02:02] + 168.5s | RAM: 14.71/27.65 GB ( 53.2%) | VRAM: N/A
[17:02:03] + 169.6s | RAM: 14.71/27.65 GB ( 53.2%) | VRAM: N/A
[17:02:04] + 170.6s | RAM: 14.18/27.65 GB ( 51.3%) | VRAM: N/A
[17:02:05] + 171.6s | RAM: 14.16/27.65 GB ( 51.2%) | VRAM: N/A
[17:02:06] + 172.6s | RAM: 14.15/27.65 GB ( 51.2%) | VRAM: N/A
[17:02:07] + 173.6s | RAM: 13.19/27.65 GB ( 47.7%) | VRAM: N/A
[17:02:08] + 174.6s | RAM: 12.69/27.65 GB ( 45.9%) | VRAM: N/A
[17:02:09] + 175.6s | RAM: 12.68/27.65 GB ( 45.9%) | VRAM: N/A
[17:02:10] + 176.7s | RAM: 12.74/27.65 GB ( 46.1%) | VRAM: N/A
[17:02:11] + 177.7s | RAM: 12.74/27.65 GB ( 46.1%) | VRAM: N/A
[17:02:12] + 178.7s | RAM: 12.74/27.65 GB ( 46.1%) | VRAM: N/A
[17:02:13] + 179.7s | RAM: 12.92/27.65 GB ( 46.7%) | VRAM: N/A
[17:02:14] + 180.8s | RAM: 13.12/27.65 GB ( 47.5%) | VRAM: N/A
[17:02:15] + 181.8s | RAM: 13.11/27.65 GB ( 47.4%) | VRAM: N/A
[17:02:16] + 182.8s | RAM: 13.11/27.65 GB ( 47.4%) | VRAM: N/A
[17:02:17] + 183.8s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[17:02:18] + 184.9s | RAM: 13.09/27.65 GB ( 47.3%) | VRAM: N/A
[17:02:19] + 185.9s | RAM: 13.09/27.65 GB ( 47.3%) | VRAM: N/A
[17:02:20] + 186.9s | RAM: 13.08/27.65 GB ( 47.3%) | VRAM: N/A
[17:02:21] + 187.9s | RAM: 13.08/27.65 GB ( 47.3%) | VRAM: N/A
[17:02:22] + 188.9s | RAM: 13.08/27.65 GB ( 47.3%) | VRAM: N/A
[17:02:23] + 189.9s | RAM: 13.12/27.65 GB ( 47.5%) | VRAM: N/A
[17:02:24] + 191.0s | RAM: 13.00/27.65 GB ( 47.0%) | VRAM: N/A
[17:02:25] + 192.0s | RAM: 13.16/27.65 GB ( 47.6%) | VRAM: N/A
[17:02:26] + 193.0s | RAM: 13.55/27.65 GB ( 49.0%) | VRAM: N/A
[17:02:27] + 194.0s | RAM: 13.60/27.65 GB ( 49.2%) | VRAM: N/A
[17:02:28] + 195.0s | RAM: 13.69/27.65 GB ( 49.5%) | VRAM: N/A
[17:02:29] + 196.0s | RAM: 13.73/27.65 GB ( 49.7%) | VRAM: N/A
[17:02:30] + 197.1s | RAM: 13.70/27.65 GB ( 49.6%) | VRAM: N/A
[17:02:31] + 198.1s | RAM: 13.84/27.65 GB ( 50.1%) | VRAM: N/A
[17:02:32] + 199.1s | RAM: 13.85/27.65 GB ( 50.1%) | VRAM: N/A
[17:02:33] + 200.1s | RAM: 13.86/27.65 GB ( 50.1%) | VRAM: N/A
[17:02:34] + 201.1s | RAM: 13.86/27.65 GB ( 50.1%) | VRAM: N/A
[17:02:35] + 202.1s | RAM: 13.89/27.65 GB ( 50.2%) | VRAM: N/A
[17:02:36] + 203.2s | RAM: 14.02/27.65 GB ( 50.7%) | VRAM: N/A
[17:02:37] + 204.2s | RAM: 14.16/27.65 GB ( 51.2%) | VRAM: N/A
[17:02:38] + 205.2s | RAM: 14.48/27.65 GB ( 52.4%) | VRAM: N/A
[17:02:39] + 206.2s | RAM: 14.52/27.65 GB ( 52.5%) | VRAM: N/A
[17:02:40] + 207.2s | RAM: 14.54/27.65 GB ( 52.6%) | VRAM: N/A
[17:02:41] + 208.2s | RAM: 14.86/27.65 GB ( 53.8%) | VRAM: N/A
[17:02:42] + 209.3s | RAM: 15.02/27.65 GB ( 54.3%) | VRAM: N/A
[17:02:43] + 210.3s | RAM: 14.77/27.65 GB ( 53.4%) | VRAM: N/A
[17:02:44] + 211.3s | RAM: 14.75/27.65 GB ( 53.3%) | VRAM: N/A
[17:02:45] + 212.3s | RAM: 14.62/27.65 GB ( 52.9%) | VRAM: N/A
[17:02:46] + 213.4s | RAM: 14.62/27.65 GB ( 52.9%) | VRAM: N/A
[17:02:47] + 214.4s | RAM: 14.52/27.65 GB ( 52.5%) | VRAM: N/A
[17:02:48] + 215.4s | RAM: 14.71/27.65 GB ( 53.2%) | VRAM: N/A
[17:02:49] + 216.4s | RAM: 14.53/27.65 GB ( 52.6%) | VRAM: N/A
[17:02:50] + 217.5s | RAM: 14.53/27.65 GB ( 52.6%) | VRAM: N/A
[17:02:51] + 218.5s | RAM: 14.53/27.65 GB ( 52.6%) | VRAM: N/A
[17:02:52] + 219.5s | RAM: 14.53/27.65 GB ( 52.6%) | VRAM: N/A
[17:02:53] + 220.5s | RAM: 14.53/27.65 GB ( 52.6%) | VRAM: N/A
[17:02:54] + 221.5s | RAM: 14.57/27.65 GB ( 52.7%) | VRAM: N/A
[17:02:55] + 222.5s | RAM: 14.55/27.65 GB ( 52.6%) | VRAM: N/A
[17:02:57] + 223.5s | RAM: 14.54/27.65 GB ( 52.6%) | VRAM: N/A
[17:02:58] + 224.5s | RAM: 14.54/27.65 GB ( 52.6%) | VRAM: N/A
[17:02:59] + 225.6s | RAM: 14.54/27.65 GB ( 52.6%) | VRAM: N/A
[17:03:00] + 226.6s | RAM: 14.54/27.65 GB ( 52.6%) | VRAM: N/A
[17:03:01] + 227.6s | RAM: 14.57/27.65 GB ( 52.7%) | VRAM: N/A
[17:03:02] + 228.6s | RAM: 14.54/27.65 GB ( 52.6%) | VRAM: N/A
[17:03:03] + 229.7s | RAM: 14.54/27.65 GB ( 52.6%) | VRAM: N/A
[17:03:04] + 230.7s | RAM: 14.54/27.65 GB ( 52.6%) | VRAM: N/A
[17:03:05] + 231.7s | RAM: 14.54/27.65 GB ( 52.6%) | VRAM: N/A
[17:03:06] + 232.7s | RAM: 14.54/27.65 GB ( 52.6%) | VRAM: N/A
[17:03:07] + 233.7s | RAM: 14.57/27.65 GB ( 52.7%) | VRAM: N/A
[17:03:08] + 234.7s | RAM: 14.73/27.65 GB ( 53.3%) | VRAM: N/A
[17:03:09] + 235.7s | RAM: 14.55/27.65 GB ( 52.6%) | VRAM: N/A
[17:03:10] + 236.8s | RAM: 14.55/27.65 GB ( 52.6%) | VRAM: N/A
